vaccine,country,year,coverage,coverage_subnat,mid_day,a0,a1
SIA,SOM,2019,0.15075062,0.15075062,180,1,159
SIA,SOM,2020,0.9,0.9,180,53,158
SIA,SOM,2022,0.99,0.99,180,1,159
SIA,UGA,1997,0.01148586,0.01148586,180,1,159
SIA,UGA,1998,0.02047277,0.02047277,180,1,1
SIA,UGA,1998,0.02977186,0.02977186,180,53,159
SIA,UGA,1999,0.02922948,0.02922948,180,53,159
SIA,UGA,2000,0.23953291,0.23953291,180,53,159
SIA,UGA,2001,0.05546502,0.05546502,180,53,168
SIA,UGA,2003,1,1,180,53,168
SIA,UGA,2005,0.24956573,0.24956573,180,53,104
SIA,UGA,2006,0.96365027,0.96365027,180,53,159
SIA,UGA,2009,1,1,180,53,158
SIA,UGA,2012,0.98544922,0.98544922,180,53,159
SIA,UGA,2015,0.92382648,0.92382648,180,53,159
SIA,UGA,2019,0.53708843,0.53708843,180,53,168
SIA,UKR,2008,0.01084038,0.01084038,180,169,183
SIA,UKR,2017,0.01863589,0.01863589,180,53,159
SIA,UKR,2017,0.05789324,0.05789324,180,160,163
SIA,UKR,2018,0.00761394,0.00761394,180,53,159
SIA,UKR,2018,0.02043919,0.02043919,180,160,172
SIA,UKR,2019,0.01523378,0.01523378,180,53,159
SIA,UKR,2019,0.04031666,0.04031666,180,160,172
SIA,UKR,2020,0.00127502,0.00127502,180,53,159
SIA,UKR,2020,0.00332614,0.00332614,180,160,172
